epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,361.074,1.99769,3.0104,1.61766,1.87192,0,0.75493,0.48174,0.56596,0.26945,0.76398,0.46134,0.53201,0.24455,2.08312,3.66967,1.77866,1.9215,0,0.00333078,0.00333078,0.070023
2,698.058,1.80276,2.66767,1.2646,1.6969,0,0.78373,0.57355,0.69672,0.35286,0.77883,0.55424,0.66198,0.31327,1.86338,2.6805,1.25422,1.73901,0,0.00600437,0.00600437,0.0393632
3,1022.68,1.63963,2.42584,1.0531,1.55642,0,0.83897,0.71163,0.8359,0.47362,0.8219,0.69017,0.79894,0.40717,1.58803,2.49459,0.9806,1.5314,0,0.00801795,0.00801795,0.00804349
4,1346.11,1.48681,2.24841,0.89644,1.44514,0,0.88294,0.76806,0.88232,0.53399,0.88051,0.76311,0.87383,0.47601,1.43763,2.25609,0.8531,1.43736,0,0.00703,0.00703,0.00703
5,1669.22,1.37612,2.11659,0.79595,1.37187,0,0.85933,0.81847,0.91031,0.58967,0.86576,0.8029,0.9008,0.53198,1.28343,2.06419,0.76317,1.33759,0,0.00604,0.00604,0.00604
6,1989.38,1.26391,1.98573,0.7145,1.29794,0,0.92144,0.8621,0.94958,0.6325,0.91776,0.85627,0.93899,0.5718,1.21116,1.95621,0.6816,1.27587,0,0.00505,0.00505,0.00505
7,2308.85,1.17527,1.89117,0.64606,1.23915,0,0.92334,0.87467,0.95317,0.66106,0.92353,0.87485,0.949,0.59987,1.1578,1.84107,0.63452,1.23998,0,0.00406,0.00406,0.00406
8,2628.5,1.10061,1.80313,0.59324,1.19251,0,0.93617,0.90436,0.96675,0.70388,0.93547,0.89872,0.95942,0.63545,1.04958,1.75942,0.57925,1.18069,0,0.00307,0.00307,0.00307
9,2947.88,1.01874,1.72516,0.54197,1.14892,0,0.94801,0.91505,0.97515,0.73092,0.94754,0.91151,0.96926,0.66034,0.98672,1.65835,0.52211,1.14798,0,0.00208,0.00208,0.00208
10,3268.42,0.94989,1.64413,0.50001,1.11452,0,0.95394,0.92868,0.97867,0.74927,0.95527,0.92594,0.97502,0.68043,0.9326,1.59198,0.49614,1.11788,0,0.00109,0.00109,0.00109
